Run ID,Distance,Time,Time Changed,Moving Time,Elevation Gain,Elevation Over Time,Start Latitude,Start Longitude,Polyline,Difficulty
1455281011,6.358429273,2405,0:40:05,719,92.2,0.038336798,33.78,-84.39,a_dmE|fbbOj@aA}@kAy[y@Jcb@_A{ABgQ}@r@t@yIs@cLsNaI`@oEuAaCsJs@jIm@d@kC_AcCkLeCcBlA]vCdCjDxHfAfD}Bw@{E{L{BuBlF`DnD`H~@hDoDaBmE{K_BaB|BNxDnKhDdCq@|@oDwAyCcIgBd@xLwDqB}@sBb@_DaCaFjAgCoHuJRuAnBC`B~B|JMfJaCxEn@zBgFhCl@hAfnBfAfH}@jHZhMv^tC,2
1452820186,8.212787322,3161,0:52:41,298,124.4,0.039354635,33.78,-84.39,q~cmEjfbbO_@qAm\a@hAia@y@uPwAgEr@{Jy@gJqNmHTsFwCsC}MwA}CiQnFgBbAmEhCm@lFzGtPsBX_ZtSwMrl@wJhYaWbG{B~F_@jGvB|S`W|KnDeKaEuScWkHkBqG\o`@dYwl@nKuTbOCxfAjBjj@Mzg@l]dAb@fA,2
1451991478,4.059977233,1580,0:26:20,0,81.1,0.051329114,33.78,-84.39,}|cmE|ebbOgBiAm@tHmFrHw@xXjD~FbRx@jCuC|B{T`D{G^mFbEw@BkRoN_AkApD{OnDq@nIeEfDkAj]bEfFjRZhBcC|BsUrDiM`E_A?qRqNuA}@fDwI|DyDGUvIhAGb@gG,0
1449315797,7.917014635,3061,0:51:01,162,158.9,0.05191114,33.78,-84.39,a~cmE|fbbOoAmAq[MOz~@e^bRkOlCaNYy@qK}Lia@oKcAY}NqHcNePlFoE`HmDbBeCrMgG~@yIaB_GjFk@dDkMfFkDoJyE~DeD}AaBkHz@kN{DcDp@c[hLY|`@tIve@_I~GkG`KkR`LsAvh@eYrO{A`SxGvBhSeAGWlBx@|^|]`C,2
1448116502,7.053060129,2950,0:49:10,503,147.9,0.050135593,33.78,-84.39,qadmErdbbOfRoEV_EdMThBci@FaxBpJiHJ_G|BsCgRpIyl@vKwQlMIvG_E^eCbFoDcAeC|AgRt@iBwBmD~@gJuB}EzCuFuDvEvD~GeCvInBnHpJeA`ClClGQnEbFtD^|DdL|CvMbIRzX`AfRv@B{@~GTvYvYdADpGuEdEq@zIbBcIfHgCFqG,2
1445790517,3.66273463,1574,0:26:14,323,68.1,0.043265565,33.78,-84.39,s}cmErebbOvCkCjJwAj@uCtxA^dLvNbGdRwKx@pLWyEyPgGeJqWmBcCwCuq@T}JcCeEz@kAhEkI|AcCrC,0
1445790257,2.96474837,1064,0:17:44,4,68.1,0.064003759,33.77,-84.4,ascmEh}bbOfKeCmBdFiC`UgChCuN]gAnJiKo@IgGrFwFZsK{Ru@lRNd@}MbGmHH}HhPuC|@eD`Md@KxRgDL_ApFgL|D,1
1445790072,3.760165633,1522,0:25:22,402,77.9,0.051182654,33.78,-84.39,q}cmEtfbbO`HeKhUPA~ReET@`EaDpGoBdT}A`EoQCgD_CcAiEv@oUdGcIB_IdQ{Dp@yClLj@LbRkEp@BdEaD~FeCxU{BhDoQq@{D_FnA{YrBcEzDiA`@mF,0
1442918517,6.43678418,2407,0:40:07,826,91,0.037806398,33.78,-84.39,g}cmE~ebbOeBqB_[cAIsp@o@qEu@NLcVcMwHQsGmAeBcKYfIYj@_DuAiCmMoAaAlE|DrEpIEnA_FcBwB}IiBcCjA_@hCBeGTvJtIfDnFeCH{B{AyBuJmBqC`DhCfGfIv@zCeEmBwD_JeBgCnAQvCT}DeC}EvA}BcHiJBwAnCCzA~BjR{@vB_BpD~@bD_GdBXCjG`AzBrAxcCd^~C,2
1440870259,7.420414778,3030,0:50:30,256,120.7,0.039834983,33.78,-84.39,_~cmE|ebbOk@wA_]Ud@mp@eBi^BckAdT}Mdl@}J|ZgW`HqBxMdBbTlWzJ~CyLyFqQsUyO}AgHtCcYlUyl@rKuTjOvArzCx^~B,2
1440114361,6.125725762,2566,0:42:46,733,120.6,0.046999221,33.78,-84.39,a}cmEhebbOe@gAk]MIct@mAsD?sUuNyHFoGuDuBnDrCX~F|HxGtDTm@pP^jZr@@Mnd@rZZBdGcDjEoBzHA~SrCxEzIv@uAvFPoE}CRQdKzBPp@uL{CZM`K|BLn@gLkCUi@lLhCXnBeNrGNvCkC`CmUbDsHR}E~D]ByQaIsBoLh@}DpIeDAYzInABh@cG,2
1438411837,6.128149109,3021,0:50:21,961,142.4,0.04713671,33.78,-84.39,_}cmEtfbbOmBgASbHsFzGg@d[|CnEdSXtAjBbCmFzCcZm@eAzAoGrD_@Biu@j@mCpBCgBmIe@yXz@uwA|@cClIcFI{FxAsCwStKah@vHkTlOtAb{Ct^fB,2
1432875828,3.032353555,1424,0:23:44,190,54.1,0.037991573,33.78,-84.39,m~cmExfbbOtCoDxIuAd@oC~Fq@tFtArt@{@`V~@lM|RrARuRwTgbALoPkBaT|L,0
1432875693,3.83572437,1671,0:27:51,0,81.4,0.048713345,33.78,-84.39,u~cmE~ebbOu@iAe@vHsE`GcAn[tCbFpRj@nCcDfHmd@hEc@_@_TmG_BmL|@{DhJmDQi@xIuDdDmA`FU~VtA~CtUdAtBmD`CgUjDmMnEi@[{PkGsDoM~@qD|IoB`A,0
1430234660,7.02068669,2920,0:48:40,342,117.7,0.040308219,33.78,-84.39,q}cmElfbbOgB{Am[g@f@ad@MmM}AoFQk_BrSwNxm@wJbXcVhJeDrNnBfOvR_KkPaJ{EkLh@m_@`Yol@pKmThOMrgA`Bfh@@th@v^dC,2
1428969590,6.421374175,2582,0:43:02,539,99.3,0.038458559,33.78,-84.39,s}cmEbfbbOa@qAg]a@Hei@uAaFp@_E{@wXmLuHk@sGaCuBqIEbIYb@gDsAoCmJgBuCrExBzDpGlAjDqADoF}MeCcBnDhCtE~Bv@uF_F^uDcCiFpAkCmIuK}IwBeH~CeHmJeDF}CmI|UiDpa@r@`\nHzAfzC~^v@,2
1427096763,7.920867136,3238,0:53:58,235,156.1,0.048208771,33.78,-84.39,_~cmEhfbbOc@qAi\KeBbPr@xANll@a`@bRgUrBiFk@eAoK}Lqa@cKw@OuNsI}NmDpDoJdBiDhGoE~BwBxLuDfAwLoAcGzF?nByNnFiDsJqEtEkDkBqAqH|@uMaEuDK{Ot@iJtCr@hD{Ajd@bJfg@mHfLyO`C}HzMsB|h@sY`PeBbRnGdCjUIfa@p]tB,2
1426152841,8.027494433,3301,0:55:01,543,140.7,0.042623447,33.78,-84.39,c~cmEjfbbOtDqD|ImAHqCbF[jsAx@lGxH`TeTtBoHlWca@h@_XxJt@pDwAf@qdAkXm@oHm[wLzCiQLQxB_Di@sIgGoLuP}MmEwLlCwS~QmK|Eie@hH_UpNa@f`AnBhm@Ypk@rZhAh@fJ`Ae@TqF,2
1421996512,3.617250258,1521,0:25:21,296,65.9,0.043326759,33.78,-84.39,q}cmE`dbbOfBTr@oBtQsFvsAd@|KtPbFxPkKt@lLWgFoQaIgKgUsAS{BoEw@se@bAuYeAwAfEmHv@iDtD,0
1420951115,6.760642846,3279,0:54:39,481,105.3,0.032113449,33.78,-84.39,}|cmExfbbOWuAjBIvDuIfFsAsQ`AGoZyK_BoGhA{BsKJcGiDwAc@oRcMqIEkEoAmBkPkCsAsCh@cD{MePwCl@uEpHyFkFCsFmDcGqlAfi@fiAch@|KmA`PpA`DzIfEfEhCq@zMhOzApRpNtIRtTpXxBpAxFc@xHhAfALvc@hBjA,1
1419011323,9.585023463,3770,1:02:50,229,200.3,0.053129973,33.78,-84.39,c}cmEtfbbOq@qAw\IsArNt@dLc@~b@a_@hRgNfCoMeA}@eJeNsc@eJSa@oOaIkNaErD{IjB{DpGgDvAmC|MyJz@aFqAoGrFW|BkMzFiAa@cCcJyDhEcDeAaByHf@qNmDwCb@y[tLSna@~ItQaF`SkAxGyGtI{QdL{A`q@{\rJJ|MhFhbAzDFx~@eFS@|CuDxJoAtSyBrDmRg@sDeF`BqYxH{ELoG,2
